participant_id,date,original_filename,trial_number,reaction_time,correct,correct_position,chosen_position,prompt,sample_name,file_1_name,file_2_name,file_3_name,file_4_name,colour_1_stimul,colour_2_stimul,colour_3_stimul,colour_4_stimul,date_parsed,participant_id_original,participant_id_normalized,file_path,stimuli_quantity,colored,nut_quantity,juice_quantity,datetime,mean_reaction_time,percent_correct,omission_percent,experiment_duration,session_id,most_popular_position
Jupiter,02.06.2025,02.06.2025 - Jupiter.txt,1,1029,0,2th,3,,,y_00902,c_00891,f_01542,m_00280,,,,,2025-06-02,Jupiter,Jupiter,/content/drive/MyDrive/Pavlov/Макаки учатся/Experiment Data/Data/02.06.2025/02.06.2025 - Jupiter.txt,4.0,,1.0,0.0,02.06.2025 11:59:45,980.0,35.0,4.0,"9 min, 35 sec",1,3
Jupiter,02.06.2025,02.06.2025 - Jupiter.txt,2,579,1,2th,2,,,s_00320,f_01788,m_01766,j_01080,,,,,2025-06-02,Jupiter,Jupiter,/content/drive/MyDrive/Pavlov/Макаки учатся/Experiment Data/Data/02.06.2025/02.06.2025 - Jupiter.txt,4.0,,1.0,0.0,02.06.2025 11:59:45,980.0,35.0,4.0,"9 min, 35 sec",1,3
Jupiter,02.06.2025,02.06.2025 - Jupiter.txt,3,688,0,3th,4,,,c_01270,y_00523,j_01415,m_00902,,,,,2025-06-02,Jupiter,Jupiter,/content/drive/MyDrive/Pavlov/Макаки учатся/Experiment Data/Data/02.06.2025/02.06.2025 - Jupiter.txt,4.0,,1.0,0.0,02.06.2025 11:59:45,980.0,35.0,4.0,"9 min, 35 sec",1,3
Jupiter,02.06.2025,02.06.2025 - Jupiter.txt,4,578,0,4th,2,,,f_00745,s_00125,m_01681,c_00697,,,,,2025-06-02,Jupiter,Jupiter,/content/drive/MyDrive/Pavlov/Макаки учатся/Experiment Data/Data/02.06.2025/02.06.2025 - Jupiter.txt,4.0,,1.0,0.0,02.06.2025 11:59:45,980.0,35.0,4.0,"9 min, 35 sec",1,3
Jupiter,02.06.2025,02.06.2025 - Jupiter.txt,5,848,1,4th,4,,,s_01180,y_00443,j_01331,m_00367,,,,,2025-06-02,Jupiter,Jupiter,/content/drive/MyDrive/Pavlov/Макаки учатся/Experiment Data/Data/02.06.2025/02.06.2025 - Jupiter.txt,4.0,,1.0,0.0,02.06.2025 11:59:45,980.0,35.0,4.0,"9 min, 35 sec",1,3
Jupiter,02.06.2025,02.06.2025 - Jupiter.txt,6,793,1,1th,1,,,y_00433,s_00910,c_00169,j_01353,,,,,2025-06-02,Jupiter,Jupiter,/content/drive/MyDrive/Pavlov/Макаки учатся/Experiment Data/Data/02.06.2025/02.06.2025 - Jupiter.txt,4.0,,1.0,0.0,02.06.2025 11:59:45,980.0,35.0,4.0,"9 min, 35 sec",1,3
Jupiter,02.06.2025,02.06.2025 - Jupiter.txt,7,628,1,1th,1,,,j_01777,c_01740,f_00719,m_01005,,,,,2025-06-02,Jupiter,Jupiter,/content/drive/MyDrive/Pavlov/Макаки учатся/Experiment Data/Data/02.06.2025/02.06.2025 - Jupiter.txt,4.0,,1.0,0.0,02.06.2025 11:59:45,980.0,35.0,4.0,"9 min, 35 sec",1,3
Jupiter,02.06.2025,02.06.2025 - Jupiter.txt,8,771,0,2th,4,,,j_01611,m_01213,f_01363,c_00138,,,,,2025-06-02,Jupiter,Jupiter,/content/drive/MyDrive/Pavlov/Макаки учатся/Experiment Data/Data/02.06.2025/02.06.2025 - Jupiter.txt,4.0,,1.0,0.0,02.06.2025 11:59:45,980.0,35.0,4.0,"9 min, 35 sec",1,3
Jupiter,02.06.2025,02.06.2025 - Jupiter.txt,9,875,0,1th,3,,,s_00845,y_00810,f_00289,c_00527,,,,,2025-06-02,Jupiter,Jupiter,/content/drive/MyDrive/Pavlov/Макаки учатся/Experiment Data/Data/02.06.2025/02.06.2025 - Jupiter.txt,4.0,,1.0,0.0,02.06.2025 11:59:45,980.0,35.0,4.0,"9 min, 35 sec",1,3
Jupiter,02.06.2025,02.06.2025 - Jupiter.txt,10,662,0,4th,3,,,m_01191,s_00865,j_01131,y_00369,,,,,2025-06-02,Jupiter,Jupiter,/content/drive/MyDrive/Pavlov/Макаки учатся/Experiment Data/Data/02.06.2025/02.06.2025 - Jupiter.txt,4.0,,1.0,0.0,02.06.2025 11:59:45,980.0,35.0,4.0,"9 min, 35 sec",1,3
