participant_id,brightness0,brightness1,brightness2,brightness3,local_symbol_cls00,local_symbol_cls01,local_symbol_cls02,local_symbol_cls03,local_symbol_cls04,local_symbol_cls05,local_symbol_cls10,local_symbol_cls11,local_symbol_cls12,local_symbol_cls13,local_symbol_cls14,local_symbol_cls15,local_symbol_cls20,local_symbol_cls21,local_symbol_cls22,local_symbol_cls23,local_symbol_cls24,local_symbol_cls25,local_symbol_cls30,local_symbol_cls31,local_symbol_cls32,local_symbol_cls33,local_symbol_cls34,local_symbol_cls35,correct_symbol_cls0,correct_symbol_cls1,correct_symbol_cls2,correct_symbol_cls3,correct_symbol_cls4,correct_symbol_cls5,correct_local_cls,time_reaction_task,time_reaction_mean,chosen_local_cls
Jupiter,46.31776147959184,35.22217793367347,35.28085140306123,52.36352040816327,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1029,980.0,2
Jupiter,56.26937181122449,30.205277423469386,45.11192602040816,39.40800382653061,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,579,980.0,1
Jupiter,55.41326530612245,31.93877551020408,35.726482780612244,50.945870535714285,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,688,980.0,3
Jupiter,33.66143176020408,37.56744260204081,28.843032525510203,48.01044323979592,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,578,980.0,1
Jupiter,64.20727040816327,43.16645408163265,26.046396683673468,34.59964923469388,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,3,848,980.0,3
Jupiter,39.00701530612245,62.052853954081634,49.08075573979592,14.916214923469388,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,793,980.0,0
Jupiter,17.38799426020408,61.411750637755105,27.67123724489796,37.22281568877551,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,628,980.0,0
Jupiter,23.450892857142858,22.733019770408163,23.967952806122447,48.80404974489796,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,771,980.0,3
Jupiter,53.613360969387756,35.63926977040816,39.558673469387756,72.39126275510205,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,875,980.0,2
Jupiter,31.784677933673468,59.295200892857146,23.475685586734695,47.262675382653065,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,3,662,980.0,2
Jupiter,30.274314413265305,39.3671875,24.83171237244898,22.779017857142858,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,846,980.0,2
