participant_id,brightness0,brightness1,brightness2,brightness3,local_symbol_cls0,local_symbol_cls1,local_symbol_cls2,local_symbol_cls3,correct_symbol_cls,correct_local_cls,participant_linspace,time_reaction_task,time_reaction_mean,chosen_local_cls
Jupiter,46.31776147959184,35.22217793367347,35.28085140306123,52.36352040816327,y,c,f,m,c,1,0.0,1029,980.0,2
Jupiter,56.26937181122449,30.205277423469386,45.11192602040816,39.40800382653061,s,f,m,j,f,1,0.0005931198102016608,579,980.0,1
Jupiter,55.41326530612245,31.93877551020408,35.726482780612244,50.945870535714285,c,y,j,m,j,2,0.0011862396204033216,688,980.0,3
Jupiter,33.66143176020408,37.56744260204081,28.843032525510203,48.01044323979592,f,s,m,c,c,3,0.0017793594306049821,578,980.0,1
Jupiter,64.20727040816327,43.16645408163265,26.046396683673468,34.59964923469388,s,y,j,m,m,3,0.002372479240806643,848,980.0,3
Jupiter,39.00701530612245,62.052853954081634,49.08075573979592,14.916214923469388,y,s,c,j,y,0,0.0029655990510083037,793,980.0,0
Jupiter,17.38799426020408,61.411750637755105,27.67123724489796,37.22281568877551,j,c,f,m,j,0,0.0035587188612099642,628,980.0,0
Jupiter,23.450892857142858,22.733019770408163,23.967952806122447,48.80404974489796,j,m,f,c,m,1,0.004151838671411625,771,980.0,3
Jupiter,53.613360969387756,35.63926977040816,39.558673469387756,72.39126275510205,s,y,f,c,s,0,0.004744958481613286,875,980.0,2
Jupiter,31.784677933673468,59.295200892857146,23.475685586734695,47.262675382653065,m,s,j,y,y,3,0.005338078291814947,662,980.0,2
Jupiter,30.274314413265305,39.3671875,24.83171237244898,22.779017857142858,y,c,m,j,y,0,0.005931198102016607,846,980.0,2
Jupiter,41.86543367346939,19.922672193877553,49.01323341836735,24.6953125,c,f,m,j,m,2,0.006524317912218268,760,980.0,1
Jupiter,48.31002869897959,50.88647959183673,34.91581632653061,51.83402423469388,s,c,m,y,y,3,0.0071174377224199285,892,980.0,2
Jupiter,26.98955676020408,57.839285714285715,59.502710459183675,30.81544961734694,y,m,s,f,s,2,0.00771055753262159,1002,980.0,1
Jupiter,35.284199617346935,48.535235969387756,23.670838647959183,39.98094706632653,m,y,f,s,y,1,0.00830367734282325,807,980.0,0
Jupiter,28.40266262755102,48.249681122448976,55.41326530612245,49.306760204081634,f,m,c,s,m,1,0.008896797153024912,771,980.0,1
Jupiter,54.043925382653065,43.47002551020408,39.49976084183673,36.975366709183675,s,y,m,c,c,3,0.009489916963226572,768,980.0,0
Jupiter,46.234375,48.85961415816327,45.697146045918366,24.641422193877553,y,m,f,j,f,2,0.010083036773428233,647,980.0,2
Jupiter,51.905293367346935,34.480149872448976,45.22783801020408,32.811543367346935,m,y,f,j,y,1,0.010676156583629894,856,980.0,3
