participant_id,brightness0,brightness1,brightness2,brightness3,local_symbol_cls0,local_symbol_cls1,local_symbol_cls2,local_symbol_cls3,correct_symbol_cls,correct_local_cls,participant_linspace,time_reaction_task,time_reaction_mean,chosen_local_cls
Jupiter,0.18163829,0.1381262,0.13835628,0.20534714,y,c,f,m,c,1,0.0,1029,980.0,2
Jupiter,0.22066422,0.11845207,0.1769095,0.1545412,s,f,m,j,f,1,0.0005931198102016608,579,980.0,1
Jupiter,0.21730694,0.1252501,0.14010385,0.19978774,c,y,j,m,j,2,0.0011862396204033216,688,980.0,3
Jupiter,0.13200562,0.14732331,0.11310994,0.18827625,f,s,m,c,c,3,0.0017793594306049821,578,980.0,1
Jupiter,0.2517932,0.1692802,0.10214274,0.13568489,s,y,j,m,m,3,0.002372479240806643,848,980.0,3
Jupiter,0.15296867,0.24334452,0.19247355,0.058494966,y,s,c,j,y,0,0.0029655990510083037,793,980.0,0
Jupiter,0.06818821,0.24083038,0.10851466,0.14597182,j,c,f,m,j,0,0.0035587188612099642,628,980.0,0
Jupiter,0.0919643,0.089149095,0.09399197,0.19138843,j,m,f,c,m,1,0.004151838671411625,771,980.0,3
Jupiter,0.21024849,0.13976185,0.15513206,0.28388733,s,y,f,c,s,0,0.004744958481613286,875,980.0,2
Jupiter,0.1246458,0.2325302,0.09206152,0.18534382,m,s,j,y,y,3,0.005338078291814947,662,980.0,2
Jupiter,0.1187228,0.15438113,0.09737927,0.08932949,y,c,m,j,y,0,0.005931198102016607,846,980.0,2
Jupiter,0.1641782,0.07812814,0.19220875,0.09684436,c,f,m,j,m,2,0.006524317912218268,760,980.0,1
Jupiter,0.1894511,0.19955483,0.13692477,0.2032707,s,c,m,y,y,3,0.0071174377224199285,892,980.0,2
Jupiter,0.105841406,0.22682074,0.23334397,0.1208449,y,m,s,f,s,2,0.00771055753262159,1002,980.0,1
Jupiter,0.13836943,0.19033426,0.09282682,0.15678802,m,y,f,s,y,1,0.00830367734282325,807,980.0,0
Jupiter,0.11138299,0.18921445,0.21730694,0.19335984,f,m,c,s,m,1,0.008896797153024912,771,980.0,1
Jupiter,0.21193695,0.17047068,0.15490103,0.14500144,s,y,m,c,c,3,0.009489916963226572,768,980.0,0
Jupiter,0.18131128,0.19160633,0.1792045,0.09663303,y,m,f,j,f,2,0.010083036773428233,647,980.0,2
Jupiter,0.20355019,0.13521628,0.17736408,0.12867272,m,y,f,j,y,1,0.010676156583629894,856,980.0,3
Jupiter,0.13315794,0.15070027,0.13727179,0.18501556,m,y,f,s,f,2,0.011269276393831554,878,980.0,2
Jupiter,0.15563443,0.1604673,0.15807885,0.11008247,c,m,s,j,c,0,0.011862396204033215,797,980.0,3
Jupiter,0.24951199,0.21260066,0.13347933,0.18738809,m,s,f,c,f,2,0.012455516014234875,920,980.0,1
Jupiter,0.08419993,0.15106387,0.12799713,0.104867265,j,y,m,f,j,0,0.013048635824436536,832,980.0,2
Jupiter,0.071411684,0.20578918,0.10260699,0.1684005,j,s,f,y,s,1,0.013641755634638196,660,980.0,2
Jupiter,0.14290029,0.12952057,0.1862417,0.19978774,f,y,c,m,m,3,0.014234875444839857,2693,980.0,0
Jupiter,0.200679,0.19425365,0.17367667,0.20972326,c,s,y,j,j,3,0.01482799525504152,745,980.0,2
Jupiter,0.14608155,0.2105858,0.1807082,0.24965705,f,c,s,y,s,2,0.01542111506524318,1119,980.0,0
Jupiter,0.19286466,0.2113214,0.13836943,0.17959996,c,f,m,s,f,1,0.01601423487544484,875,980.0,2
Jupiter,0.12255184,0.23490053,0.19666868,0.13912347,y,c,s,f,y,0,0.0166073546856465,849,980.0,0
Jupiter,0.138743,0.13094237,0.19293906,0.12688918,m,c,s,j,m,0,0.01720047449584816,674,980.0,2
Jupiter,0.078299135,0.17352128,0.11310994,0.178548,j,f,m,s,m,2,0.017793594306049824,804,980.0,1
Jupiter,0.14412609,0.20763648,0.17567433,0.20355019,c,f,s,m,m,3,0.018386714116251483,985,980.0,3
